"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Lawrenceville","Lawrenceville","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",94,8.07081584230699,,,,190500,0.793650793650794,8.30017055144969,0.051501312335958,,0.0786032691623983,0.0388492591942184,57
"City","Fremont","Fremont","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",95,8.2870961854353,100,2.5191,0.1813,951600,0.07361447050163,5.26548672566372,0.0117833123160993,,0.0324242537681653,0.00480832438190492,42
"City","Fayetteville","Fayetteville","NC","Fayetteville, NC","""Fayetteville, NC""",96,4.17868224128491,50,9.6578,7.5608,113500,0.799289520426288,3.36976320582878,0.0415770925110133,,,,108
"City","Springfield","Springfield","MO","Springfield, MO","""Springfield, MO""",97,1.65358642087972,,,,115200,0.261096605744125,-1.79028132992327,0.0263107638888889,,0.127515931663495,0.0181883232377458,63
"City","Arlington","Arlington","VA","Washington, VA","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",98,7.1436393502464,91.67,,,651400,0.664503167980219,3.99106002554278,0.0253807184525636,,0.108570869176347,0.00736863670455987,62
"City","Irving","Irving","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",99,9.76181784997262,100,1.4992,0.2186,186500,0.75634792004322,8.11594202898551,0.0451099195710456,,,,54
"City","Gilbert","Gilbert","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",100,7.2093447709436,90.82,4.0542,0.3471,299600,0.435802883003688,5.38163911361238,0.0241555407209613,,0.102839663577724,0.0143084241316613,57
"City","Scottsdale","Scottsdale","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",101,7.59080124110239,83.61,2.2153,0.5442,427700,0.328407224958949,3.93681652490887,0.0187748421790974,,0.0899219067032733,0.0125843715340016,89
"City","Rochester","Rochester","NY","Rochester, NY","""Rochester, NY""",102,4.94524548275233,,,,81600,0.61652281134402,2.25563909774436,0.0441666666666667,,0.0762079102530577,0.115986084656415,81
"City","Winston-Salem","Winston-Salem","NC","Winston-Salem, NC","""Winston-Salem, NC""",103,2.4164993611973,77.62,5.1199,4.5061,124600,0,5.95238095238095,0.0370224719101124,,0.105467106494834,0.0374605925110872,70
"City","Irvine","Irvine","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",104,7.82624566526738,90.44,1.209,0.4799,792600,0.227617602427921,3.48609479044262,0.00526116578349733,,0.0592579642312815,0.010371556180124,60
"City","Richmond","Richmond","VA","Richmond, VA","""Richmond, VA""",105,5.87789742653769,91.49,9.6263,4.1017,185700,1.47540983606557,13.7170851194121,0.0375121163166396,,0.128781534834169,0.0320284715775309,64
"City","Boca Raton","Boca Raton","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",106,4.23069903267019,82.41,,,324000,0.589878919590189,4.11311053984576,0.00545061728395058,,0.0712756715055885,0.0468484368700268,102
"City","Oxnard","Oxnard","CA","Ventura, CA","""Oxnard-Thousand Oaks-Ventura, CA""",107,6.58605584960759,89.47,5.1164,1.7859,469900,0.707243891984569,6.8926296633303,0.0335411789742499,,0.0833454940743405,0.0384724605715847,59
"City","Bradenton","Bradenton","FL","North Port-Sarasota-Bradenton, FL","""North Port-Sarasota-Bradenton, FL""",108,3.95510129585691,82.33,,,222000,0.13531799729364,5.36307546274324,0.00941891891891888,,0.0684634340873979,0.0501262634588889,110
"City","Santa Rosa","Santa Rosa","CA","Santa Rosa, CA","""Santa Rosa, CA""",109,8.40390582223033,98.15,1.9503,0.664,541700,0.370576246062627,6.2156862745098,-0.00114085287059262,,0.0423959816393981,0.00917990972425846,46
"City","Des Moines","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",110,3.22321591531301,83.33,1.9231,2.2128,121800,0.0821692686935086,1.07883817427386,0.0366338259441708,,0.0948972200151398,0.0451847939120287,60
"City","Reno","Reno","NV","Reno, NV","""Reno, NV""",111,8.44497171016609,90.07,2.9459,0.711,323700,0.465549348230912,6.86695278969957,0.028260735248687,,0.0635467927141517,0.0368439577392648,61
"City","Spokane","Spokane","WA","Spokane, WA","""Spokane-Spokane Valley, WA""",112,7.55612338017886,92.07,4.9653,3.339,177800,0.736543909348442,8.87936313533374,0.0479752530933633,,0.0730722947876099,0.0318381736538247,58
"City","Tacoma","Tacoma","WA","Seattle, WA","""Seattle-Tacoma-Bellevue, WA""",113,6.18543529841212,96,7.0128,4.0188,259100,0.699572483482316,11.8256365990505,0.048097259745272,,0.0732590314820788,0.0402973177187041,49
"City","Grand Rapids","Grand Rapids","MI","Grand Rapids, MI","""Grand Rapids-Wyoming, MI""",114,8.35553933199489,96.08,,,135100,0.595681310498883,10.6470106470106,0.0516284233900814,,0.0664704015679772,0.0167343603653454,50
"City","Oceanside","Oceanside","CA","San Diego, CA","""San Diego-Carlsbad, CA""",115,8.49151304982661,94.22,3.4284,0.6519,494700,0.712540716612378,5.75032064985036,0.0295755003032141,,0.0646024030680493,0.0217489637503994,53
"City","Gainesville","Gainesville","FL","Gainesville, FL","""Gainesville, FL""",116,1.36886293119182,70.63,,,164400,0.366300366300366,6.40776699029126,0.0232481751824818,,0.111582703070531,0.0607521754308194,73
"City","Woodbridge","Woodbridge","VA","Washington, VA","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",117,2.45482752327067,79.29,4.9039,1.7329,303800,-0.197109067017083,3.22799864084268,0.0263495720868994,,0.141190817882697,0.0350161591796713,60
"City","Ocala","Ocala","FL","Ocala, FL","""Ocala, FL""",118,7.13268844679686,78.43,,,128800,0.625,10.5579399141631,0.0460481366459626,,0.141037322611783,0.0612981162949961,100.5
